id_persona,PeID
02618-1-02,1446
02620-1-01,1447
02621-1-01,1448
02621-1-02,1449
02622-1-01,1450
02625-1-01,1451
02627-1-02,1452
02628-1-01,1453
02628-1-02,1454
02629-1-02,1455
02631-1-02,1456
02632-1-01,1457
02635-1-02,1458
02636-1-01,1459
02637-1-01,1460
02638-1-02,1461
02639-1-01,1462
02641-1-01,1463
02641-1-02,1464
02641-1-03,1465
02645-1-01,1466
02645-1-02,1467
02647-1-01,1468
02651-1-01,1469
02651-1-03,1470
02654-1-01,1471
02654-1-02,1472
02657-1-01,1473
02659-1-01,1474
02661-1-01,1475
02664-1-01,1476
02665-1-01,1477
02666-1-02,1478
02668-1-01,1479
02670-1-01,1480
02671-1-02,1481
02673-1-02,1482
02674-1-01,1483
02676-1-01,1484
02676-1-02,1485
02678-1-03,1486
02678-1-04,1487
02681-1-01,1488
02682-1-03,1489
02683-1-01,1490
02683-1-02,1491
02688-1-02,1492
02690-1-01,1493
02690-1-02,1494
