id_persona,modulo,choice,T_modulo_sem,choice_interno_v10,mod_TD,mod_TC,mod_ED,mod_CP,T_mod_10h,female,zona_centro,zona_sur,edad_18_24,edad_45_64,edad_65mas,n_menores_18,n_trabajadores,n_profesionales,vive_pareja,educ_secundaria,educ_tecnica,educ_universitaria,quintil_2,quintil_3,quintil_4,quintil_5,ing_personal,PeID,WeID,avl_1,chc_1,wd_1,avl_2,chc_2,wd_2,avl_3,chc_3,wd_3,avl_4,chc_4,wd_4,avl_5,chc_5,wd_5,avl_6,chc_6,wd_6,avl_7,chc_7,wd_7,wc_1,Tw,Tf1,Tf2,Tc,w,Ec,ta,Ec_monetario,Ec_trabajo_no_remunerado,ingreso_libre_observado,ingreso_potencial_neto_Ec,wc_2
00051-1-01,TO,1,44,1,0,0,0,0,4.4,1,0,0,0,0,0,2,2,2,1,0,0,1,0,0,0,1,450,30,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,98.8,18.12,4.67,46.41,6.202948,379.4112972,168,216.56,162.85129719999998,233.4399652,374.80515012000006,1
00051-1-01,TC,1,32.39,1,0,1,0,0,3.239,1,0,0,0,0,0,2,2,2,1,0,0,1,0,0,0,1,450,30,2,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,98.8,18.12,4.67,46.41,6.202948,379.4112972,168,216.56,162.85129719999998,233.4399652,374.80515012000006,1
00051-1-02,TO,1,40,1,0,0,0,0,4,0,0,0,0,0,0,2,2,2,1,0,0,1,0,0,0,1,400,31,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,68.58,30.39,8.52,60.510000000000005,7.127654,281.30452207999997,168,192.49,88.81452207999999,207.50998924,484.8470063799999,1
00051-1-02,TD,1,19.2,1,1,0,0,0,1.92,0,0,0,0,0,0,2,2,2,1,0,0,1,0,0,0,1,400,31,2,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,68.58,30.39,8.52,60.510000000000005,7.127654,281.30452207999997,168,192.49,88.81452207999999,207.50998924,484.8470063799999,1
00051-1-02,TC,1,9.38,1,0,1,0,0,0.938,0,0,0,0,0,0,2,2,2,1,0,0,1,0,0,0,1,400,31,3,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,68.58,30.39,8.52,60.510000000000005,7.127654,281.30452207999997,168,192.49,88.81452207999999,207.50998924,484.8470063799999,1
00055-1-04,TD,1,11.36,1,1,0,0,0,1.136,0,0,0,0,0,0,1,2,0,1,1,0,0,1,0,0,0,0,32,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,15.49,51.31,5.66,95.54,3.103409,48.07180541,168,0,48.07180541,7.105427357601002e-15,176.80121073000004,1
00056-1-03,TO,5,45,5,0,0,0,0,4.5,0,0,1,0,0,0,0,3,2,0,0,1,0,0,0,0,1,0,33,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,47.11,55.48,8.64,56.77,0.133731,6.30005066,168,0,6.30005066,1.67499999994547e-5,8.57484847,1
00058-1-01,TO,1,45,1,0,0,0,0,4.5,0,0,1,0,1,0,0,2,2,1,0,0,1,0,0,1,0,625,34,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,53.26,35.32,12.91,66.51000000000002,12.208294,328.76371607999994,168,303.54999999999995,25.21371608,321.4500223600001,910.2560419799996,1
00058-1-01,TD,1,7.86,1,1,0,0,0,0.786,0,0,1,0,1,0,0,2,2,1,0,0,1,0,0,1,0,625,34,2,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,53.26,35.32,12.91,66.51000000000002,12.208294,328.76371607999994,168,303.54999999999995,25.21371608,321.4500223600001,910.2560419799996,1
00058-1-01,TC,1,0.4,1,0,1,0,0,0.04,0,0,1,0,1,0,0,2,2,1,0,0,1,0,0,1,0,625,34,3,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,53.26,35.32,12.91,66.51000000000002,12.208294,328.76371607999994,168,303.54999999999995,25.21371608,321.4500223600001,910.2560419799996,1
